avg,mapped_wreq,1-288,289-576,577-864,865-1152,1153-1440
17,"{""mean"": 17.1, ""bench"": ""json_serdes-fdd607a3105f"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""1.json\""}""}",1,1,1,2,1
154,"{""mean"": 155.0, ""bench"": ""chameleon-f427733950a1b0"", ""payload"": ""{\""nrow\"": 208, \""ncol\"": 208}""}",1,1,1,1,1
56,"{""mean"": 56.3, ""bench"": ""chameleon-9195b6b7fa8966"", ""payload"": ""{\""nrow\"": 116, \""ncol\"": 116}""}",1,1,1,1,1
919,"{""mean"": 912.4, ""bench"": ""chameleon-9c286943da1ca8"", ""payload"": ""{\""nrow\"": 520, \""ncol\"": 520}""}",1,0,1,2,2
352,"{""mean"": 350.2, ""bench"": ""json_serdes-a621af5b426c"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""file_name\"": \""gen02_n11008.json\""}""}",1,1,1,1,1
69,"{""mean"": 69.0, ""bench"": ""pyaes-1e0141afce165bc87c"", ""payload"": ""{\""message_length\"": 432, \""num_iterations\"": 26}""}",1,1,1,1,1
21,"{""mean"": 21.0, ""bench"": ""pyaes-46f9aa2930f54f45ff"", ""payload"": ""{\""message_length\"": 48, \""num_iterations\"": 51}""}",1,1,2,1,1
342,"{""mean"": 343.1, ""bench"": ""matmul_fb-df8f3cce214a88"", ""payload"": ""{\""N\"": 608, \""M\"": 608}""}",1,1,1,2,1
134,"{""mean"": 135.2, ""bench"": ""cnn_serving_geol-f9eecf9"", ""payload"": ""{\""img_idx\"": 0}""}",1,1,1,1,1
68,"{""mean"": 68.1, ""bench"": ""matmul_fb-b72267e1002ab6"", ""payload"": ""{\""N\"": 368, \""M\"": 368}""}",1,1,1,1,1
446,"{""mean"": 444.3, ""bench"": ""chameleon-7614e52b463374"", ""payload"": ""{\""nrow\"": 360, \""ncol\"": 360}""}",0,2,1,1,0
135208,"{""mean"": 20802.8, ""bench"": ""lr_training-76dbbdb25bea"", ""payload"": ""{\""minio_address\"": \""icy1.cslab.ece.ntua.gr:59000\"", \""bucket_name\"": \""snaplace-fbpml\"", \""dataset_object_key\"": \""reviews50mb.csv\""}""}",1,1,1,3,1
